标题,链接,作者,出发日期,天数,照片数,人数,玩法,费用,阅读数,点赞数,评论数
帝都漫游记之圆明园,https://travel.qunar.com/youji/6785156,冷月1990,2017-03-11 出发,共1天,216张照片,三五好友,漫游 人文,人均50元,3988,0,0
2016，陶然湖畔月月红,https://travel.qunar.com/youji/6743783,梁lsh,2016-05-13 出发,共1天,76张照片,,,,2062,0,0
曾相识，奥林匹克公园,https://travel.qunar.com/youji/6036415,偶爱嘉年华,2015-10-04 出发,共1天,96张照片,,短途周末,,1527,1,0
秋意渐浓，延庆周末游,https://travel.qunar.com/youji/5967615,行走中的白羊,2015-09-26 出发,共2天,31张照片,家庭,短途周末 赏秋,人均200元,3114,2,0
那个冬天～北京,https://travel.qunar.com/youji/7000853,Q_sunny,2018-02-17 出发,共4天,71张照片,,冬季,,2277,6,2
故宫里的大怪兽——北京故宫行,https://travel.qunar.com/youji/7470655,章鱼脚,2019-04-01 出发,共1天,43张照片,亲子,,,4731,18,0
恋海情深，那一抹淡色的夕阳--什刹海游记,https://travel.qunar.com/youji/5929586,梁lsh,2014-09-06 出发,共1天,75张照片,,美食 短途周末,人均10元,3647,0,0
近游雍和宫,https://travel.qunar.com/youji/6038625,偶爱嘉年华,2015-08-04 出发,共1天,81张照片,,短途周末,,3088,5,0
北京—昆泰酒店，陪你度过一个美美的周末,https://travel.qunar.com/youji/6619982,刘笑嘉,2016-07-23 出发,共2天,53张照片,三五好友,美食 短途周末,,3964,1,0
北京5日游,https://travel.qunar.com/youji/5728005,liliyjiang,2014-08-05 出发,共7天,没有照片,,美食,人均5000元,6084,0,1
【北京】双龙山森林公园采红果记,https://travel.qunar.com/youji/5896480,ttsu2548,2014-11-01 出发,共1天,35张照片,家庭,自驾,,2860,4,0
狂玩北京7天,https://travel.qunar.com/youji/4191081,心颖0456,2014-08-06 出发,共7天,17张照片,,美食,,4038,9,4
将江南搬到北方--古北水镇1日体验游,https://travel.qunar.com/youji/5955640,pipixiagege,2013-11-04 出发,共1天,57张照片,三五好友,短途周末,,3676,5,0
北京的秋天很短暂，但却如此美好！（二）,https://travel.qunar.com/youji/6647509,SHASHALOU,2016-11-06 出发,共1天,64张照片,独自一人,短途周末 赏秋,人均10元,9101,20,0
北京游,https://travel.qunar.com/youji/6730606,yspn6953,2016-08-12 出发,共7天,46张照片,家庭,,人均6000元,1672,2,0
京郊平谷，群山里藏着一座会呼吸的酒店！造型奇特，超多惊喜！,https://travel.qunar.com/youji/7686035,M_梦初,2021-06-17 出发,共3天,73张照片,亲子,美食 自驾 暑假 短途周末 夏季,人均1000元,3.6万,99,2
北京周末新玩法|小众又新奇的影院，花式解锁你的电影之旅！,https://travel.qunar.com/youji/7436857,bopomofoqing,2018-12-27 出发,共1天,23张照片,三五好友,跨年 寒假 短途周末 暑假 夏季 冬季 春节 人文 第一次,人均30元,7539,4,0
北京周末新玩法|解锁99.9%的人都没去过的小众博物馆……,https://travel.qunar.com/youji/7436192,bopomofoqing,2018-12-26 出发,共1天,34张照片,三五好友,深度游 寒假 短途周末 摄影 冬季 春节 人文 第一次,人均20元,2.5万,18,0
【北京最好吃的冰淇淋大盘点】在冬天里吃冰淇淋才最过瘾！！,https://travel.qunar.com/youji/7434403,bopomofoqing,2018-12-20 出发,共1天,26张照片,三五好友,跨年 圣诞 美食 寒假 暑假 夏季 短途周末 冬季 第一次,人均30元,1.9万,10,0
京华烟云，皇城根下放肆耍-北京周末游,https://travel.qunar.com/youji/6816534,语嫣然88,2017-03-25 出发,共2天,183张照片,三五好友,美食 短途周末,人均600元,3639,3,0
带老人帝都4日三夜游,https://travel.qunar.com/youji/5879046,灵bao,2015-09-06 出发,共4天,22张照片,家庭,美食,人均2000元,1.1万,22,3
出差之余忙里偷闲之北京,https://travel.qunar.com/youji/4953787,Madam不想写...,2014-12-21 出发,共6天,19张照片,,,,655,1,0
登高望远，金秋时节的八达岭长城竟如此惊艳,https://travel.qunar.com/youji/7664813,karenluna在...,2020-11-01 出发,共1天,88张照片,三五好友,赏枫 短途周末 赏秋,,481,23,2
[2016年第一季]女汉子北京三天流浪记,https://travel.qunar.com/youji/6298336,讨厌痘痘的豆...,2016-03-12 出发,共4天,45张照片,独自一人,,人均1500元,3548,13,1
北京历史文化体验游,https://travel.qunar.com/youji/6861653,yozl7989,2017-04-27 出发,共3天,67张照片,,人文,人均1000元,1558,0,0
京郊草莓采摘一日游,https://travel.qunar.com/youji/4690277,阿滋楠,2012-02-14 出发,共1天,54张照片,三五好友,自驾,,7161,16,1
在北京住进了一个四合院，探寻老北京最美的味道,https://travel.qunar.com/youji/7433270,PIXONE,2018-12-05 出发,共1天,98张照片,三五好友,美食 摄影 探险 人文 第一次,,2182,2,0
第n次玩北京，我们又去了哪？,https://travel.qunar.com/youji/6923059,tiiwan,2017-10-01 出发,共5天,56张照片,家庭,美食 骑行 人文,人均1200元,5725,10,0
相遇，就是缘分---文艺北京行,https://travel.qunar.com/youji/4972697,小核桃-侯小...,2014-09-05 出发,共4天,16张照片,闺蜜,短途周末,人均1500元,3300,10,3
刚子北京6日游记全攻略,https://travel.qunar.com/youji/4323829,刚子的幸福,2014-09-10 出发,共6天,112张照片,,,,4550,12,4
尽情在帝都撒欢儿——北京七日游,https://travel.qunar.com/youji/6589673,唔尾熊,2016-07-11 出发,共6天,99张照片,,摄影 人文,,3360,8,1
2021.7.15-19北京--长白山游记,https://travel.qunar.com/youji/7691307,静柔522,2021-07-15 出发,共5天,33张照片,亲子,暑假 第一次,,141,5,0
“游园惊梦”--颐和园游记,https://travel.qunar.com/youji/5926139,梁lsh,2014-11-16 出发,共1天,82张照片,情侣,短途周末,人均50元,3595,3,0
儿子的毕业旅行北京四日游,https://travel.qunar.com/youji/3742016,柯比胶,2014-06-04 出发,共5天,30张照片,,购物 美食 毕业游,,5510,17,0
帝都七日穷游,https://travel.qunar.com/youji/7436766,虢葳,2018-12-17 出发,共7天,72张照片,独自一人,深度游 穷游 冬季 徒步 第一次,人均2600元,1859,7,1
接天荷花别样红——圆明园荷花节,https://travel.qunar.com/youji/4053331,凤麒儿,2014-07-21 出发,共1天,30张照片,,,,3832,3,0
吃货带你吃北京系列——炸糕,https://travel.qunar.com/youji/6558662,娜黛,2016-09-07 出发,共1天,10张照片,家庭,美食,人均9元,3435,0,0
北海公园看荷花,https://travel.qunar.com/youji/4088931,凤麒儿,2014-07-22 出发,共1天,33张照片,,,,3082,2,0
大手和小手的北京之旅,https://travel.qunar.com/youji/6662978,ajis8296,2016-12-13 出发,共7天,95张照片,,美食,,2361,6,0
北京四天游，经济游2700一人,https://travel.qunar.com/youji/5176035,zhuy8231,2015-02-11 出发,共4天,41张照片,闺蜜,购物 美食 古镇,人均2700元,4471,26,6
八天八夜热辣辣首都之行,https://travel.qunar.com/youji/6546150,樱花的陨落,2016-07-31 出发,共8天,81张照片,情侣,美食 古镇 摄影 徒步 人文,人均4000元,2936,10,0
#帝都美食# 盘点北京那些曾经火了半边天的苍蝇小店！如今却再也吃不到了,https://travel.qunar.com/youji/6997323,JX小星星,2018-02-24 出发,共1天,29张照片,学生,美食 漫游 短途周末 踏春,人均200元,1799,8,0
久违的蓝天与白云，带上相机出去走走,https://travel.qunar.com/youji/5917432,梁lsh,2015-06-14 出发,共1天,53张照片,独自一人,短途周末,人均10元,1778,0,0
北京周末游系列之“永定河大峡谷”两日游,https://travel.qunar.com/youji/7400916,说走就走-88,2015-05-03 出发,共2天,22张照片,,清明 中秋节 自驾 端午 五一 短途周末 暑假 第一次 深度游 穷游 夏季 赏秋 国庆,人均500元,2449,2,0
一路向北,https://travel.qunar.com/youji/4004568,行者有爱就好,2014-07-04 出发,共9天,93张照片,,购物 美食,,4589,3,3
妞，出发了，2016北京GOGOGO~,https://travel.qunar.com/youji/6547515,Ann呗,2016-08-29 出发,共1天,65张照片,闺蜜,短途周末 摄影,人均4000元,3206,5,0
京都春节之旅 北京自由行,https://travel.qunar.com/youji/6724066,吉林涛哥,2017-02-04 出发,共1天,8张照片,,探险 春节,,3188,2,1
北京-咖啡  那些胡同、文艺街区里的Top20咖啡店,https://travel.qunar.com/youji/7437157,Maaaaria,2018-12-28 出发,共2天,80张照片,三五好友,万圣节 清明 跨年 圣诞 美食 中秋节 寒假 端午 五一 暑假 短途周末 摄影 徒步 第一次 漫游 夏季 踏春 冬季 赏秋 春节 国庆,人均100元,8198,23,1
龙潭湖春色,https://travel.qunar.com/youji/5304599,孤鹰YX,2012-04-10 出发,共1天,51张照片,,,,3158,0,0
欢乐的古北水镇一日游,https://travel.qunar.com/youji/6851286,onlystar0709,2017-07-02 出发,共1天,30张照片,三五好友,美食 古镇 自驾 短途周末,人均300元,3.2万,221,20
前门到后海，一天时间深度游览老北京,https://travel.qunar.com/youji/7062662,慧玩酱,2018-07-09 出发,共1天,21张照片,家庭,深度游 穷游 漫游 骑行 短途周末 人文 第一次,人均100元,6408,46,0
山里寒舍，远离尘世的逃离！,https://travel.qunar.com/youji/5176464,青春河边巢,2014-10-18 出发,共2天,6张照片,亲子,美食 自驾,人均500元,9589,9,9
圆明园一场别样的旅行,https://travel.qunar.com/youji/6103022,bjszym,2015-12-05 出发,共1天,13张照片,亲子,短途周末,,2726,2,0
【雪桃日记】流浪京城，文艺青年的20种小众北京,https://travel.qunar.com/youji/7452512,雪桃儿旅行日...,2019-02-19 出发,共25天,126张照片,独自一人,深度游 跨年 美食 寒假 摄影 冬季 春节,人均6000元,4222,18,1
房山霞云岭：大山里的冰上盛宴,https://travel.qunar.com/youji/5543214,薇那verna,2015-01-17 出发,共2天,50张照片,三五好友,短途周末,人均400元,4054,15,0
长城上空直冲云霄新体验,https://travel.qunar.com/youji/6574272,Joanna佳妮,2016-05-15 出发,共1天,15张照片,,,,2052,1,0
耶，北京！,https://travel.qunar.com/youji/4975821,怎么都停不下...,2014-12-27 出发,共3天,42张照片,,,,3668,5,0
最全攻略  鸟巢欢乐冰雪季，四环边的冰天雪地,https://travel.qunar.com/youji/6729827,kjpj4042,2017-02-10 出发,共1天,39张照片,,,人均122元,2005,1,0
暑假游帝都,https://travel.qunar.com/youji/6913759,pkoa4992,2017-08-12 出发,共8天,37张照片,家庭,美食 暑假 人文,人均3000元,1943,1,0
北京长城十三陵定陵奥林匹克公园一日游,https://travel.qunar.com/youji/6455692,如果是幸福的,2016-06-21 出发,共0天,6张照片,亲子,自驾,人均400元,1355,3,0
【北京周游记】盘完了“北京必做100+18件事”，我们是「北京吃喝玩乐野生代言人」建议收藏,https://travel.qunar.com/youji/7655322,小砖头UP,2020-05-01 出发,共10天,199张照片,三五好友,购物 美食 摄影,人均1000元,254,15,2
白河峡谷之再次相遇,https://travel.qunar.com/youji/3903934,dunf4658,2014-06-28 出发,共1天,18张照片,,,,1754,5,0
秋游水镇，48小时打卡古北水镇慢生活,https://travel.qunar.com/youji/7536003,游走旅行的摄...,2019-09-28 出发,共2天,110张照片,三五好友,美食 赏枫 摄影 第一次,人均1500元,2.4万,7,2
“前尘往事化作一本石头记”-北京大观园游,https://travel.qunar.com/youji/5917187,梁lsh,2015-07-25 出发,共1天,86张照片,独自一人,短途周末,人均10元,1915,1,0
6日游,https://travel.qunar.com/youji/7678644,rzuu9536,2021-05-14 出发,共6天,28张照片,家庭,五一 第一次,人均3000元,545,16,2
在首都留下我们的深冬印迹——北京四天短途游记,https://travel.qunar.com/youji/6732586,ppapang的旅...,2017-02-03 出发,共4天,18张照片,情侣,美食 徒步 冬季 人文,,1万,55,2
美式田园小居——北京南宫温泉庄园！太惬意,https://travel.qunar.com/youji/6569155,你好哈哈哈,2016-09-18 出发,共1天,49张照片,,温泉,,5549,5,0
北京6日游,https://travel.qunar.com/youji/6558581,plxu1435,2016-09-04 出发,共5天,38张照片,独自一人,毕业游 人文,人均1800元,3946,12,0
《随风逛京郊》密云【蟠龙山长城】,https://travel.qunar.com/youji/7013556,独自随风,2018-02-04 出发,共1天,85张照片,三五好友,短途周末 冬季,,2076,2,0
在北京密云欢乐松鼠谷住透明玻璃落地窗童话小屋，和小松鼠们一起吃早餐,https://travel.qunar.com/youji/6942272,putiko酱,2017-11-10 出发,共2天,102张照片,闺蜜,美食 自驾 短途周末,人均400元,1.1万,56,5
双旦在即，京城周边浪起来~让你感受北京不一样的冬季,https://travel.qunar.com/youji/6962574,本胖就是木有...,2017-12-18 出发,共1天,52张照片,,美食 冬季,,2099,6,0
北京圆梦旅😘,https://travel.qunar.com/youji/3054516,aqlx0338,2014-03-30 出发,共6天,27张照片,,,,6721,26,1
趁着出差的间隙爬了趟长城！~,https://travel.qunar.com/youji/5918380,欲曙天,2014-11-07 出发,共2天,45张照片,三五好友,短途周末,人均500元,3532,5,2
阳光明媚，我们向百花山出发,https://travel.qunar.com/youji/5963063,cccabc,2013-09-07 出发,共1天,42张照片,家庭,短途周末,人均60元,2422,2,0
走通房山之行（1）-自车厂猿祖山经东猫耳、西猫耳穿胡芦篷到驷马沟,https://travel.qunar.com/youji/6808332,lauyuu,2015-05-23 出发,共1天,61张照片,三五好友,,人均35元,2487,1,0
来，带你走进真正的自然（云蒙山重装徒步穿越）,https://travel.qunar.com/youji/6701889,duem6945,2017-01-12 出发,共3天,67张照片,,徒步,,2480,0,0
APEC前游北京,https://travel.qunar.com/youji/4667130,EQEQ-DO,2014-11-02 出发,共4天,88张照片,独自一人,短途周末,人均50元,2608,8,5
暖妃驾到,https://travel.qunar.com/youji/6510552,kyxa5341,2016-07-08 出发,共5天,117张照片,,,,1497,9,0
一次说走就走的北京穷游,https://travel.qunar.com/youji/7525686,Susan,2019-08-24 出发,共6天,54张照片,独自一人,穷游 暑假 夏季 第一次,人均1500元,1932,21,8
北京东城半日文化休闲美食游挑战！,https://travel.qunar.com/youji/5522838,清风只为江湖,2015-05-19 出发,共1天,22张照片,闺蜜,美食,,1733,0,0
4天3夜北京亲子游，凌晨4点爬起来看升国旗、学剪纸、登景山、逛胡同、吃老冰棍,https://travel.qunar.com/youji/7525766,方小娜,2019-09-06 出发,共5天,39张照片,亲子,美食,,1698,4,2
孤独寂寞非北京 爱上北京的3天时间,https://travel.qunar.com/youji/7036032,皮皮虾啦啦,2018-05-10 出发,共3天,25张照片,独自一人,,,1861,0,0
北京5日游,https://travel.qunar.com/youji/6848671,大弟仔DaDi,2017-06-29 出发,共5天,40张照片,,,,1599,0,0
2016中秋-古北水镇+仙居谷+人间花海,https://travel.qunar.com/youji/6637821,可爱的x小精...,2016-11-22 出发,共2天,69张照片,,,,2017,0,0
刚柔并济，融汇贯通--黄花城水长城游记,https://travel.qunar.com/youji/5979653,冰是水的新,2015-06-06 出发,共2天,46张照片,家庭,短途周末,人均148元,2921,1,0
园林博物馆踏踏青,https://travel.qunar.com/youji/7467017,娜黛,2019-04-02 出发,共1天,24张照片,家庭,清明 穷游 自驾 赏樱 短途周末 踏春 摄影,,995,2,0
用心感受别样的北京,https://travel.qunar.com/youji/7045115,MIX9876,2018-05-26 出发,共1天,33张照片,,自驾,人均800元,2188,5,0
你好，帝都！,https://travel.qunar.com/youji/7416865,麻瓜不爱麻花,2018-10-27 出发,共3天,57张照片,三五好友,赏秋 第一次,人均2000元,1107,2,1
北京周边媲美苏杭、丽江的6大绝美古镇，这个周末出发刚刚好,https://travel.qunar.com/youji/7061264,Qunar攻略小...,2018-07-06 出发,共2天,29张照片,,古镇 短途周末,,1.5万,51,1
京华揽胜——庭院深深深几许『更新旧照170409』,https://travel.qunar.com/youji/6931061,皮卡皮皮皮,2016-11-05 出发,共1天,169张照片,,,人均100元,2335,0,0
仰望帝都之光,https://travel.qunar.com/youji/6978408,-啊癫,2017-10-19 出发,共4天,59张照片,独自一人,人文,,1505,2,0
踏春寻春，北京植物园游记,https://travel.qunar.com/youji/6559258,图图babe_,2016-03-26 出发,共1天,69张照片,闺蜜,踏春,,2531,9,0
